Country,Demographics Question,Demographics Response,Question-cod,year,Value,SA
9,5,11,6,2010,13.2,0
9,5,14,6,2010,5.4,0
10,2,6,1,2016,0,0
10,5,14,1,2016,2.4,0
10,1,2,1,2016,3.3,0
10,1,3,1,2016,3.5,0
10,2,12,1,2016,3.5,0
10,4,7,1,2016,3.6,0
10,3,4,1,2016,3.8,0
10,5,11,1,2016,5.4,0
10,3,13,1,2016,5.5,0
10,2,9,1,2016,5.6,0
10,4,15,1,2016,5.6,0
10,2,10,1,2016,5.9,0
10,3,5,1,2016,6.5,0
10,4,8,1,2016,6.7,0
10,1,1,1,2016,7.2,0
10,1,1,2,2016,43.7,0
10,1,2,2,2016,31,0
10,1,3,2,2016,26.3,0
10,1,1,3,2016,12.8,0
10,1,2,3,2016,8.7,0
10,1,3,3,2016,8.1,0
10,1,1,5,2016,20.7,0
10,1,2,5,2016,14.5,0
10,1,3,5,2016,14.9,0
10,1,1,4,2016,32.8,0
10,1,2,4,2016,23.8,0
10,1,3,4,2016,18.8,0
10,1,1,6,2016,18.7,0
10,1,2,6,2016,9.9,0
10,1,3,6,2016,9.6,0
10,2,6,2,2016,5.3,0
10,2,9,2,2016,35.8,0
10,2,10,2,2016,38.6,0
10,2,12,2,2016,31.2,0
10,2,6,3,2016,0.2,0
10,2,9,3,2016,10.7,0
10,2,10,3,2016,12.7,0
